Sample_ID,SMS_Text,Language,Script,Label,Scam_Category,URL,Sender_Type,Source_Type,Source,Notes
HIN-P-0001,सूचना: बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। मांगी गई राशि ₹499 है। https://account-review.example/confirm,Hindi,Devanagari,Phishing,Banking / KYC,https://account-review.example/confirm,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0002,आपकी बैंक प्रोफाइल में एक असंगति मिली है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। http://kyc-alert.example/update,Hindi,Devanagari,Phishing,Banking / KYC,http://kyc-alert.example/update,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0003,डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://upi-support.example/resolve,Hindi,Devanagari,Phishing,Banking / KYC,https://upi-support.example/resolve,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0004,आपके खाते का KYC चरण पूरा नहीं हुआ है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://parcel-status.example/address,Hindi,Devanagari,Phishing,Banking / KYC,https://parcel-status.example/address,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0005,बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। मांगी गई राशि ₹499 है। http://reward-center.example/claim,Hindi,Devanagari + English code-switching,Phishing,Banking / KYC,http://reward-center.example/claim,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0006,सूचना: आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। https://job-selection.example/document,Hindi,Devanagari,Phishing,Banking / KYC,https://job-selection.example/document,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: job lure; no real personal identifiers.
HIN-P-0007,बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। सेवा सीमित होने से पहले खाते की पुष्टि करें। https://card-security.example/review,Hindi,Devanagari,Phishing,Banking / KYC,https://card-security.example/review,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: delivery lure; no real personal identifiers.
HIN-P-0008,"आपकी बैंक प्रोफाइल में एक असंगति मिली है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। संदर्भ: [REF_ID] http://utility-notice.example/pay",Hindi,Devanagari,Phishing,Banking / KYC,http://utility-notice.example/pay,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: urgency; no real personal identifiers.
HIN-P-0009,डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। मांगी गई राशि ₹499 है। https://profile-access.example/recover,Hindi,Devanagari,Phishing,Banking / KYC,https://profile-access.example/recover,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: fear; no real personal identifiers.
HIN-P-0010,कृपया ध्यान दें — आपके खाते का KYC चरण पूरा नहीं हुआ है। अभी दिए गए verification चरण को पूरा करें। hxxp://secure-check.example/verify,Hindi,Devanagari + English code-switching,Phishing,Banking / KYC,hxxp://secure-check.example/verify,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: reward; no real personal identifiers.
HIN-P-0011,सूचना: बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी।,Hindi,Devanagari,Phishing,Banking / KYC,,Short code,Synthetic,Generated for PhishDetect India research dataset,Strategy: refund; no real personal identifiers.
HIN-P-0012,आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Devanagari,Phishing,Banking / KYC,,Unknown sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: curiosity; no real personal identifiers.
HIN-P-0013,बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। मांगी गई राशि ₹499 है।,Hindi,Devanagari,Phishing,Banking / KYC,,Bank-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: authority impersonation; no real personal identifiers.
HIN-P-0014,आपकी बैंक प्रोफाइल में एक असंगति मिली है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है।,Hindi,Devanagari,Phishing,Banking / KYC,,Telecom-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: threat; no real personal identifiers.
HIN-P-0015,डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। संदर्भ: [APPLICATION_ID],Hindi,Devanagari + English code-switching,Phishing,Banking / KYC,,Courier-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: social engineering; no real personal identifiers.
HIN-P-0016,सूचना: आपके खाते का KYC चरण पूरा नहीं हुआ है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है।,Hindi,Devanagari,Phishing,Banking / KYC,,Government-service-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: job lure; no real personal identifiers.
HIN-P-0017,बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। सेवा सीमित होने से पहले खाते की पुष्टि करें। मांगी गई राशि ₹499 है।,Hindi,Romanized Hindi / Hinglish,Phishing,Banking / KYC,,Merchant-like sender ID,Synthetic,Generated for PhishDetect India research dataset,Strategy: delivery lure; no real personal identifiers.
HIN-P-0018,"आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें।",Hindi,Devanagari,Phishing,Banking / KYC,,Generic numeric sender,Synthetic,Generated for PhishDetect India research dataset,Strategy: urgency; no real personal identifiers.
