Sample_ID,Category,SMS_Text,Language,Label,text_length,contains_url,extracted_url,url_domain,text_length,word_count,urgency_keyword_count,sensitive_keyword_count,action_keyword_count,exclamation_count,question_count,digit_count,uppercase_count
SD0001,Job Scams,URGENT: Work from home job offer! Earn Rs.15000/week. No experience needed. Register now at http://jobs-apply.example/register Sender: VM-JOBHUB,English,Phishing,144,True,http://jobs-apply.example/register,jobs-apply.example,144,17,2,0,3,1,0,5,20
SD0002,Job Scams,Congratulations! You have been shortlisted for a data entry job. Earn Rs.800/day. Click to confirm: https://quickjobs-india.example/apply Helpline: +91-9823401122,English,Phishing,162,True,https://quickjobs-india.example/apply,quickjobs-india.example,162,18,0,0,3,1,0,15,6
SD0003,Job Scams,Naukri Alert! Aapko ek part-time job ka offer mila hai. Rs.500 per ghante kamayein. Abhi register karein: http://jobportal-demo.example/signup,Hinglish,Phishing,142,True,http://jobportal-demo.example/signup,jobportal-demo.example,142,18,0,0,1,1,0,3,5
SD0004,Job Scams,"Dear Applicant, Your resume was selected. Attend online interview NOW. Confirm slot: https://hirenow-jobs.example/confirm Sender: VM-RECRUIT",English,Phishing,140,True,https://hirenow-jobs.example/confirm,hirenow-jobs.example,140,15,2,0,2,0,0,0,18
SD0005,Job Scams,Work from home! Earn Rs.50000/month by liking YouTube videos. Limited seats. Apply: https://easyjob-earn.example/register Helpline: +91-9912300001,English,Phishing,146,True,https://easyjob-earn.example/register,easyjob-earn.example,146,15,0,0,2,1,0,17,8
SD0006,Job Scams,ALERT: Job offer for you from MNC. Salary: Rs.35000/month. Immediate joining. Register at http://mncjobs.example/apply or call +91-9988776655,English,Phishing,141,True,http://mncjobs.example/apply,mncjobs.example,141,17,0,0,2,0,0,17,13
SD0007,Job Scams,"Pyare Candidate, Aapka interview select ho gaya hai. Joining bonus Rs.5000. Registration fee bharo: http://jobfee-portal.example/pay",Hinglish,Phishing,132,True,http://jobfee-portal.example/pay,jobfee-portal.example,132,15,0,0,1,0,0,4,6
SD0008,Job Scams,Exclusive: Earn Rs.2500 daily from home. Simple typing task. Register before midnight: https://typejob-india.example/register Sender: AD-JOBSMS,English,Phishing,143,True,https://typejob-india.example/register,typejob-india.example,143,15,0,1,2,0,0,4,14
SD0009,Job Scams,You have been offered a Government job. To confirm your seat pay registration of Rs.199 here: http://govtjob-demo.example/fee Support: +91-9823400011,English,Phishing,149,True,http://govtjob-demo.example/fee,govtjob-demo.example,149,19,0,0,2,0,0,15,5
SD0010,Job Scams,Sarkari naukri ka mauka! Abhi apply karein. Form bharne ke liye link par click karein: https://sarkari-jobs.example/apply Helpline: +91-9811002233,Hinglish,Phishing,146,True,https://sarkari-jobs.example/apply,sarkari-jobs.example,146,18,0,0,3,1,0,12,4
SD0011,Job Scams,"Dear Candidate, Final round selected. Submit your documents now to secure your offer: https://fastrecruit.example/upload Sender: VM-JOBALERT",English,Phishing,140,True,https://fastrecruit.example/upload,fastrecruit.example,140,16,1,0,1,0,0,0,15
SD0012,Job Scams,Alert: Amazon is hiring work-from-home agents. Earn Rs.25000/month. Confirm your interest: https://amazon-jobs-demo.example/apply Helpline: +91-9900112233,English,Phishing,154,True,https://amazon-jobs-demo.example/apply,amazon-jobs-demo.example,154,14,0,0,2,0,0,17,6
SD0013,Job Scams,Free job offer! No interview needed. Just pay Rs.99 activation fee: http://jobactivate.example/pay Sender: AD-RECRUIT,English,Phishing,117,True,http://jobactivate.example/pay,jobactivate.example,117,14,0,0,3,1,0,2,14
SD0014,Job Scams,Kal tak apply karein aur Rs.20000 salary pakki karein. Koi experience nahi chahiye. Yahan click karein: https://jobguarantee.example/register,Hinglish,Phishing,141,True,https://jobguarantee.example/register,jobguarantee.example,141,17,0,0,3,0,0,5,4
SD0015,Job Scams,Hi! Your profile matched our requirement. Confirm for a video interview: https://videojob.example/confirm Sender: VM-HRDESK,English,Phishing,123,True,https://videojob.example/confirm,videojob.example,123,14,0,0,2,1,0,0,12
SD0016,Job Scams,Exciting opportunity! Work with leading IT firm. Salary 40K+. Apply now: http://itfirm-jobs.example/apply Support: +91-9988001122,English,Phishing,129,True,http://itfirm-jobs.example/apply,itfirm-jobs.example,129,14,1,0,2,1,0,14,8
SD0017,Job Scams,Congratulations! Aapko online survey job mil gayi. Rs.300 per survey. Abhi join karein: https://surveyjob-india.example/join,Hinglish,Phishing,124,True,https://surveyjob-india.example/join,surveyjob-india.example,124,14,0,0,0,1,0,3,4
SD0018,Job Scams,LAST CHANCE: 5 vacancies left for remote job. Earn Rs.18000/month. Register immediately: https://remotejob-portal.example/signup Sender: AD-JOBHUB,English,Phishing,146,True,https://remotejob-portal.example/signup,remotejob-portal.example,146,15,2,0,1,0,0,6,22
SD0019,Job Scams,"Dear Applicant, Your CV shortlisted for BPO job. No experience required. Confirm now: https://bpo-jobs.example/confirm Helpline: +91-9800123456",English,Phishing,143,True,https://bpo-jobs.example/confirm,bpo-jobs.example,143,16,1,0,2,0,0,12,11
SD0020,Job Scams,"Sirf 10 minute ka kaam, Rs.500 rozana milega. Aaj hi register karein: http://quicktask-jobs.example/register Sender: VM-EARNJOB",Hinglish,Phishing,127,True,http://quicktask-jobs.example/register,quicktask-jobs.example,127,15,0,0,2,0,0,5,13
SD0021,SIM/KYC Scams,URGENT: Your Airtel SIM card will be deactivated in 24 hours due to incomplete KYC. Update now: https://airtel-kyc-demo.example/update Sender: VM-AIRTEL,English,Phishing,152,True,https://airtel-kyc-demo.example/update,airtel-kyc-demo.example,152,20,2,2,3,0,0,2,24
SD0022,SIM/KYC Scams,"Dear Customer, Your Jio SIM KYC is pending. Complete immediately to avoid disconnection: http://jio-kyc.example/verify Helpline: +91-9901234567",English,Phishing,143,True,http://jio-kyc.example/verify,jio-kyc.example,143,16,2,3,1,0,0,12,12
SD0023,SIM/KYC Scams,Aapka BSNL SIM band ho sakta hai. KYC update karein: https://bsnl-kyc-portal.example/update Sender: AD-BSNLALERT,Hinglish,Phishing,112,True,https://bsnl-kyc-portal.example/update,bsnl-kyc-portal.example,112,13,0,2,2,0,0,0,23
SD0024,SIM/KYC Scams,Alert: Vi (Vodafone Idea) SIM will be blocked due to failed KYC. Re-verify at: https://vi-kyc.example/confirm Support: +91-9877001122,English,Phishing,133,True,https://vi-kyc.example/confirm,vi-kyc.example,133,17,1,3,2,0,0,12,12
