Sample_ID,Category,SMS_Text,Language,Label
SD0001,Job Scams,URGENT: Work from home job offer! Earn Rs.15000/week. No experience needed. Register now at http://jobs-apply.example/register Sender: VM-JOBHUB,English,Phishing
SD0002,Job Scams,Congratulations! You have been shortlisted for a data entry job. Earn Rs.800/day. Click to confirm: https://quickjobs-india.example/apply Helpline: +91-9823401122,English,Phishing
SD0003,Job Scams,Naukri Alert! Aapko ek part-time job ka offer mila hai. Rs.500 per ghante kamayein. Abhi register karein: http://jobportal-demo.example/signup,Hinglish,Phishing
SD0004,Job Scams,"Dear Applicant, Your resume was selected. Attend online interview NOW. Confirm slot: https://hirenow-jobs.example/confirm Sender: VM-RECRUIT",English,Phishing
SD0005,Job Scams,Work from home! Earn Rs.50000/month by liking YouTube videos. Limited seats. Apply: https://easyjob-earn.example/register Helpline: +91-9912300001,English,Phishing
SD0006,Job Scams,ALERT: Job offer for you from MNC. Salary: Rs.35000/month. Immediate joining. Register at http://mncjobs.example/apply or call +91-9988776655,English,Phishing
SD0007,Job Scams,"Pyare Candidate, Aapka interview select ho gaya hai. Joining bonus Rs.5000. Registration fee bharo: http://jobfee-portal.example/pay",Hinglish,Phishing
SD0008,Job Scams,Exclusive: Earn Rs.2500 daily from home. Simple typing task. Register before midnight: https://typejob-india.example/register Sender: AD-JOBSMS,English,Phishing
SD0009,Job Scams,You have been offered a Government job. To confirm your seat pay registration of Rs.199 here: http://govtjob-demo.example/fee Support: +91-9823400011,English,Phishing
SD0010,Job Scams,Sarkari naukri ka mauka! Abhi apply karein. Form bharne ke liye link par click karein: https://sarkari-jobs.example/apply Helpline: +91-9811002233,Hinglish,Phishing
SD0011,Job Scams,"Dear Candidate, Final round selected. Submit your documents now to secure your offer: https://fastrecruit.example/upload Sender: VM-JOBALERT",English,Phishing
SD0012,Job Scams,Alert: Amazon is hiring work-from-home agents. Earn Rs.25000/month. Confirm your interest: https://amazon-jobs-demo.example/apply Helpline: +91-9900112233,English,Phishing
SD0013,Job Scams,Free job offer! No interview needed. Just pay Rs.99 activation fee: http://jobactivate.example/pay Sender: AD-RECRUIT,English,Phishing
SD0014,Job Scams,Kal tak apply karein aur Rs.20000 salary pakki karein. Koi experience nahi chahiye. Yahan click karein: https://jobguarantee.example/register,Hinglish,Phishing
SD0015,Job Scams,Hi! Your profile matched our requirement. Confirm for a video interview: https://videojob.example/confirm Sender: VM-HRDESK,English,Phishing
SD0016,Job Scams,Exciting opportunity! Work with leading IT firm. Salary 40K+. Apply now: http://itfirm-jobs.example/apply Support: +91-9988001122,English,Phishing
SD0017,Job Scams,Congratulations! Aapko online survey job mil gayi. Rs.300 per survey. Abhi join karein: https://surveyjob-india.example/join,Hinglish,Phishing
SD0018,Job Scams,LAST CHANCE: 5 vacancies left for remote job. Earn Rs.18000/month. Register immediately: https://remotejob-portal.example/signup Sender: AD-JOBHUB,English,Phishing
SD0019,Job Scams,"Dear Applicant, Your CV shortlisted for BPO job. No experience required. Confirm now: https://bpo-jobs.example/confirm Helpline: +91-9800123456",English,Phishing
SD0020,Job Scams,"Sirf 10 minute ka kaam, Rs.500 rozana milega. Aaj hi register karein: http://quicktask-jobs.example/register Sender: VM-EARNJOB",Hinglish,Phishing
SD0021,SIM/KYC Scams,URGENT: Your Airtel SIM card will be deactivated in 24 hours due to incomplete KYC. Update now: https://airtel-kyc-demo.example/update Sender: VM-AIRTEL,English,Phishing
SD0022,SIM/KYC Scams,"Dear Customer, Your Jio SIM KYC is pending. Complete immediately to avoid disconnection: http://jio-kyc.example/verify Helpline: +91-9901234567",English,Phishing
SD0023,SIM/KYC Scams,Aapka BSNL SIM band ho sakta hai. KYC update karein: https://bsnl-kyc-portal.example/update Sender: AD-BSNLALERT,Hinglish,Phishing
SD0024,SIM/KYC Scams,Alert: Vi (Vodafone Idea) SIM will be blocked due to failed KYC. Re-verify at: https://vi-kyc.example/confirm Support: +91-9877001122,English,Phishing
