SMS_Text,Language,Label
सूचना: बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी। मांगी गई राशि ₹499 है। https://account-review.example/confirm,Hindi,Phishing
आपकी बैंक प्रोफाइल में एक असंगति मिली है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है। http://kyc-alert.example/update,Hindi,Phishing
डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। https://upi-support.example/resolve,Hindi,Phishing
आपके खाते का KYC चरण पूरा नहीं हुआ है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है। https://parcel-status.example/address,Hindi,Phishing
बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। मांगी गई राशि ₹499 है। http://reward-center.example/claim,Hindi,Phishing
सूचना: आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। अनुरोध को खुला रखने के लिए अभी कार्रवाई करने को कहा गया है। https://job-selection.example/document,Hindi,Phishing
बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। सेवा सीमित होने से पहले खाते की पुष्टि करें। https://card-security.example/review,Hindi,Phishing
"आपकी बैंक प्रोफाइल में एक असंगति मिली है। यदि आपने यह गतिविधि शुरू नहीं की है, तो पहचान जांच पूरी करें। संदर्भ: [REF_ID] http://utility-notice.example/pay",Hindi,Phishing
डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। राशि/सेवा जारी करने के लिए खाते की जानकारी मांगी गई है। मांगी गई राशि ₹499 है। https://profile-access.example/recover,Hindi,Phishing
कृपया ध्यान दें — आपके खाते का KYC चरण पूरा नहीं हुआ है। अभी दिए गए verification चरण को पूरा करें। hxxp://secure-check.example/verify,Hindi,Phishing
सूचना: बैंकिंग सेवा की सुरक्षा जांच में आपका विवरण लंबित दिख रहा है। यह प्रक्रिया आज की समीक्षा विंडो बंद होने से पहले पूरी करनी होगी।,Hindi,Phishing
आपकी ग्राहक जानकारी की समय-सीमा समाप्त होने वाली है। विफल रहने पर अगली सेवा सुविधा रोकने की चेतावनी दी गई है।,Hindi,Phishing
बैंक रिकॉर्ड में आपके ग्राहक विवरण की समीक्षा बाकी है। सुरक्षा टीम के नाम पर तुरंत प्रतिक्रिया देने का निर्देश दिया गया है। मांगी गई राशि ₹499 है।,Hindi,Phishing
आपकी बैंक प्रोफाइल में एक असंगति मिली है। निर्देशित पेज पर जाकर अनुरोधित जानकारी दर्ज करने को कहा गया है।,Hindi,Phishing
डिजिटल बैंकिंग खाते के लिए पहचान दोबारा जांचनी है। लिंक से स्थिति जांचने और प्रक्रिया जारी रखने को कहा गया है। संदर्भ: [APPLICATION_ID],Hindi,Phishing
