SMS_Text,target,language
Your card payment of ₹199 at Amazon was approved.,0,English
"Your UPI payment of ₹3,499 to Airtel was successful. Transaction reference TXN8472. For your records. https://service.example/check",0,English
Your electricity bill payment of ₹199 was successful. The receipt is available on the portal. Thank you. https://service.example/check,0,English
Your salary account has been credited. The updated balance is available in your banking app. Thank you. https://service.example/check,0,English
Your KYC update request has been received. You can check its status after review. Thank you.,0,English
Your KYC update request has been received. You can check its status after review.,0,English
SMS: Your KYC update request has been received. You can check its status after review.,0,English
Your subscription renewal for mobile app was processed successfully. For your records. Please use the official app.,0,English
Update: Your mobile recharge of ₹249 was successful. The plan is active until 16 August. https://service.example/check,0,English
Your return pickup has been scheduled for 21 August. Please keep the package ready. Please check the app for details.,0,English
"The ₹7,500 refund for your order has been credited to the original payment method. Thank you.",0,English
Update: The ₹249 refund for your order has been credited to the original payment method.,0,English
Your return pickup has been scheduled for 25 August. Please keep the package ready.,0,English
Your interview for the Operations Associate position is scheduled for 21 August at 9:15 AM.,0,English
Your subscription renewal for cloud storage was processed successfully. | Account update https://service.example/check,0,English
Your reward points balance has been updated in the official app. Thank you.,0,English
"Your loan EMI of ₹1,999 was received successfully. No further action is required. Thank you. Please use the official app.",0,English
Your bank branch appointment is confirmed for 16 August at 2:10 PM. Thank you.,0,English
Your broadband bill of ₹199 has been paid successfully. Service details are available in your account.,0,English
"Update: Your broadband bill of ₹1,240 has been paid successfully.",0,English
Your return pickup has been scheduled for 16 August. Please keep the package ready. https://service.example/check,0,English
Your electricity bill payment of ₹249 was successful. The receipt is available on the portal. Please check the app for details.,0,English
Your parcel from ABC Store has been picked up and is expected to reach you by 16 August. | Account update,0,English
"Your mobile recharge of ₹3,499 was successful — The plan is active until 18 August. https://service.example/check",0,English
"Your login was successful from a new device. If this was you, no action is needed. https://service.example/check",0,English
Your electricity bill payment of ₹499 was successful. The receipt is available on the portal. https://service.example/check,0,English
Your KYC update request has been received. You can check its status after review. https://service.example/check,0,English
Your government service application REF5291 has been received and is under review.,0,English
Your DigiLocker document is ready to view in your account. Please check the app for details.,0,English
SMS: Your insurance premium of ₹850 has been received. Policy details are available in the app.,0,English
Your loan EMI of ₹199 was received successfully. No further action is required.,0,English
Your card payment of ₹199 at Zomato was approved. https://service.example/check,0,English
"Your mobile recharge of ₹1,240 was successful. The plan is active until 18 August.",0,English
"Your login was successful from a new device. If this was you, no action is needed.",0,English
"Your login was successful from a new device. If this was you, no action is needed. | Today https://service.example/check",0,English
Your interview for the Customer Support Executive position is scheduled for 25 August at 5:45 PM. Please use the official app.,0,English
The ₹499 refund for your order has been credited to the original payment method —,0,English
SMS: Your KYC update request has been received. You can check its status after review. https://service.example/check,0,English
"SMS: Your mobile recharge of ₹1,240 was successful. The plan is active until 21 August.",0,English
Your card payment of ₹199 at Swiggy was approved. For your records.,0,English
SMS: Your parcel from Swiggy has been picked up and is expected to reach you by 16 August.,0,English
Your parcel from Airtel has been picked up and is expected to reach you by 21 August — https://service.example/check,0,English
Your DigiLocker document is ready to view in your account.,0,English
Your card payment of ₹249 at ABC Store was approved.,0,English
Your salary account has been credited — The updated balance is available in your banking app. https://service.example/check,0,English
Update: Your insurance premium of ₹499 has been received. Policy details are available in the app. https://service.example/check,0,English
Your insurance premium of ₹249 has been received. Policy details are available in the app. | Service update,0,English
"Your broadband bill of ₹3,499 has been paid successfully. https://service.example/check",0,English
SMS: Your KYC update request has been received. You can check its status after review. You can also view the latest status in the app.,0,English
Your interview for the Data Analyst position is scheduled for 25 August at 5:45 PM. Service details are available in your account. Please use the official app.,0,English
"Update: Your insurance premium of ₹1,999 has been received. Policy details are available in the app.",0,English
Your UPI payment of ₹249 to Swiggy was successful — Transaction reference APP7045.,0,English
"Your card payment of ₹1,999 at Zomato was approved. https://service.example/check",0,English
Your reward points balance has been updated in the official app. For your records. https://service.example/check,0,English
SMS: Your subscription renewal for video service was processed successfully. https://service.example/check,0,English
"SMS: Your UPI payment of ₹3,499 to Zomato was successful. Transaction reference APP7045. https://service.example/check",0,English
"Your login was successful from a new device. If this was you, no action is needed. Keep the confirmation for your records.",0,English
Your DigiLocker document is ready to view in your account. You can also view the latest status in the app.,0,English
Your card payment of ₹499 at Amazon was approved —,0,English
Your account statement for this month is now available in the official banking app. | Service update,0,English
"Your mobile recharge of ₹3,499 was successful. The plan is active until 18 August. Service details are available in your account. https://service.example/check",0,English
Your interview for the Software Engineer position is scheduled for 25 August at 5:45 PM.,0,English
Your KYC update request has been received. You can check its status after review. Keep the confirmation for your records. This update is also visible in your account.,0,English
Your bank branch appointment is confirmed for 21 August at 2:10 PM.,0,English
Your KYC update request has been received. You can check its status after review. The same update is available in your account.,0,English
"Your broadband bill of ₹3,499 has been paid successfully — Please use the official app.",0,English
Your salary account has been credited. The updated balance is available in your banking app.,0,English
Your card payment of ₹499 at Zomato was approved. | Service update https://service.example/check,0,English
"Your broadband bill of ₹3,499 has been paid successfully.",0,English
"Your UPI payment of ₹7,500 to Swiggy was successful. Transaction reference ORD3816. Thank you. https://service.example/check",0,English
"Your electricity bill payment of ₹3,499 was successful. The receipt is available on the portal. For your records. https://service.example/check",0,English
"Your loan EMI of ₹1,240 was received successfully. No further action is required. https://service.example/check",0,English
Your government service application TXN8472 has been received and is under review. For your records. Please use the official app.,0,English
Your government service application REF5291 has been received and is under review. | Service update,0,English
Your card payment of ₹850 at Amazon was approved —,0,English
Your government service application TXN8472 has been received and is under review. Service details are available in your account.,0,English
"The ₹1,999 refund for your order has been credited to the original payment method.",0,English
Your account statement for this month is now available in the official banking app. Please use the official app.,0,English
SMS: Your government service application ORD3816 has been received and is under review. https://service.example/check,0,English
Your mobile recharge of ₹850 was successful. The plan is active until 21 August. Thank you.,0,English
Your salary account has been credited. The updated balance is available in your banking app. Keep the confirmation for your records.,0,English
Your bank branch appointment is confirmed for 16 August at 5:45 PM. https://service.example/check,0,English
Your KYC update request has been received. You can check its status after review. https://service.example/check The same update is available in your account.,0,English
SMS: Your UPI payment of ₹499 to Flipkart was successful. Transaction reference APP7045.,0,English
Your bank branch appointment is confirmed for 18 August at 9:15 AM. For your records.,0,English
Your account statement for this month is now available in the official banking app.,0,English
Your KYC update request has been received. You can check its status after review. Keep the confirmation for your records. Keep this message for reference.,0,English
SMS: Your account statement for this month is now available in the official banking app.,0,English
Update: Your salary account has been credited. The updated balance is available in your banking app. Please use the official app.,0,English
Your interview for the Data Analyst position is scheduled for 25 August at 5:45 PM. Thank you. https://service.example/check,0,English
"Your broadband bill of ₹1,999 has been paid successfully — https://service.example/check",0,English
Your return pickup has been scheduled for 16 August. Please keep the package ready. Please check the app for details. Please use the official app.,0,English
"Your broadband bill of ₹1,240 has been paid successfully. Thank you.",0,English
Your mobile recharge of ₹499 was successful. The plan is active until 21 August.,0,English
Your account statement for this month is now available in the official banking app. Please use the official app. The same update is available in your account.,0,English
"The ₹1,240 refund for your order has been credited to the original payment method — https://service.example/check",0,English
"Your login was successful from a new device. If this was you, no action is needed. For your records.",0,English
Update: Your bank branch appointment is confirmed for 21 August at 2:10 PM.,0,English
Your reward points balance has been updated in the official app. Service details are available in your account.,0,English
Your KYC update request has been received. You can check its status after review. | Today Please use the official app.,0,English
Your insurance claim cannot be processed until the beneficiary details are confirmed. For your records. https://service.example/check,1,English
Your KYC has expired. Update your information immediately to prevent banking access from being blocked. https://service.example/check,1,English
Your UPI refund could not be released. Provide the required payment details to complete the request. | Account update,1,English
Your job application needs a final verification before the interview slot can be confirmed. https://service.example/check,1,English
Your loan application is approved in principle. Submit the requested details to release the amount.,1,English
Update: Your bank account will be restricted today unless you confirm the pending KYC details.,1,English
Your UPI service has been placed on hold. Complete the verification before the review closes. | Today https://service.example/check,1,English
Your KYC has expired. Update your information immediately to prevent banking access from being blocked. Please check the app for details.,1,English
Your subscription payment failed. Verify your card information to avoid cancellation. | Today,1,English
Your job application needs a final verification before the interview slot can be confirmed. Please check the app for details.,1,English
Your subscription payment failed. Verify your card information to avoid cancellation. | Service update,1,English
Your KYC has expired — Update your information immediately to prevent banking access from being blocked.,1,English
Your insurance claim cannot be processed until the beneficiary details are confirmed. For your records. https://service.example/check The same update is available in your account.,1,English
Your account recovery request was received from an unknown device. Confirm your identity immediately. | Service update https://service.example/check,1,English
Your UPI refund could not be released. Provide the required payment details to complete the request.,1,English
SMS: Your government benefit verification is pending. Confirm your details before the application is closed.,1,English
Your parcel is being held because the delivery address could not be verified. Confirm it to continue. Thank you. https://service.example/check,1,English
Your account recovery request was received from an unknown device. Confirm your identity immediately. https://service.example/check,1,English
Your government benefit verification is pending. Confirm your details before the application is closed. Please check the app for details.,1,English
Your government benefit verification is pending. Confirm your details before the application is closed. Service details are available in your account.,1,English
We noticed unusual activity on your account. Confirm your identity to avoid suspension. Please check the app for details.,1,English
Your UPI refund could not be released. Provide the required payment details to complete the request. The same update is available in your account. You may review the status in the app.,1,English
Your job application needs a final verification before the interview slot can be confirmed. Thank you. https://service.example/check,1,English
Your parcel is being held because the delivery address could not be verified. Confirm it to continue. Thank you.,1,English
SMS: Your bank account will be restricted today unless you confirm the pending KYC details.,1,English
Your UPI refund could not be released. Provide the required payment details to complete the request. | Account update Keep the confirmation for your records.,1,English
SMS: Your KYC has expired. Update your information immediately to prevent banking access from being blocked.,1,English
Your insurance claim cannot be processed until the beneficiary details are confirmed. | Today,1,English
Your reward is ready for collection. Complete the verification step to receive the cashback. https://service.example/check,1,English
SMS: Your UPI refund could not be released. Provide the required payment details to complete the request.,1,English
Update: Your card will be temporarily disabled unless the security check is completed. Please use the official app.,1,English
You have been shortlisted for a work-from-home role. Pay the refundable registration amount to complete joining. | Account update,1,English
Your KYC has expired. Update your information immediately to prevent banking access from being blocked.,1,English
You have been shortlisted for a work-from-home role. Pay the refundable registration amount to complete joining. Please use the official app.,1,English
Your job application needs a final verification before the interview slot can be confirmed. Thank you.,1,English
We noticed unusual activity on your account. Confirm your identity to avoid suspension. Please check the app for details. You can also view the latest status in the app.,1,English
Your card payment could not be verified. Re-enter your account details to keep the card active. https://service.example/check,1,English
Your job application needs a final verification before the interview slot can be confirmed. https://service.example/check Keep the confirmation for your records.,1,English
Your bank profile has been flagged for a security review. Confirm the requested information. Service details are available in your account.,1,English
Your card payment could not be verified. Re-enter your account details to keep the card active. Thank you.,1,English
Your mobile number needs a KYC recheck. Complete the process today to keep services active. Thank you. Please use the official app.,1,English
