"Sample_ID","Category","SMS_Text","Language","Label"
"SD0151","Social Media Account Scams","Aapka Facebook account hack hone se bachane ke liye abhi password reset karein: https://fb-protect-demo.example/reset Sender: VM-FBPROTECT","Hinglish","Phishing"
"SD0152","Social Media Account Scams","Instagram Support: Your account is scheduled for permanent deletion due to copyright claim. Appeal here: http://insta-deletealert.example/appeal Helpline: +91-9900112244","English","Phishing"
"SD0153","Social Media Account Scams","Aapke WhatsApp Business account par naya policy update aaya hai. Accept karein 24 ghante mein: https://wa-bizpolicy.example/accept Sender: AD-WABIZ","Hinglish","Phishing"
"SD0154","Social Media Account Scams","Your Facebook Page has been flagged for monetization violation. Verify identity to restore: https://fbpage-restore-demo.example/verify Helpline: +91-9822110033","English","Phishing"
"SD0155","Social Media Account Scams","URGENT: Aapka Gmail account suspicious activity ki wajah se lock kiya gaya hai. Unlock karein: http://gmail-unlock-demo.example/unlock","Hinglish","Phishing"
"SD0156","Social Media Account Scams","Telegram Premium offer expiring! Confirm your subscription to avoid account restriction: https://tg-premium-demo.example/confirm Sender: VM-TGPREMIUM","English","Phishing"
"SD0157","Social Media Account Scams","Aapka LinkedIn profile verification ke bina restrict ho jayega recruiters ke liye. Verify karein: https://linkedin-restrict.example/verify Helpline: +91-9811223399","Hinglish","Phishing"
"SD0158","Social Media Account Scams","Snapchat Memories Alert: Your stored memories will be deleted unless you re-confirm storage plan: http://snap-memories-demo.example/confirm Sender: AD-SNAPMEM","English","Phishing"
"SD0159","Social Media Account Scams","Aapka YouTube monetization disable kiya ja raha hai policy violation ki wajah se. Appeal abhi: https://yt-monetize-appeal.example/appeal","Hinglish","Phishing"
"SD0160","Social Media Account Scams","Your X (Twitter) blue checkmark subscription payment failed. Update billing now: https://x-billing-demo.example/update Helpline: +91-9877665544","English","Phishing"
"SD0161","Social Media Account Scams","Aapka Facebook Marketplace account suspicious selling activity ki wajah se block hone wala hai. Verify: http://fbmarket-verify.example/verify Sender: VM-FBMARKET","Hinglish","Phishing"
